DATE,PCE,GDP,PCE_Change,GDP_Change
2002-01-01,7217.733333333333,10783.5,0.42343,1.15412
2002-04-01,7307.966666666665,10887.46,1.25016,0.96407
2002-07-01,7397.133333333333,10984.04,1.22013,0.88708
2002-10-01,7472.966666666665,11061.433,1.02517,0.7046
2003-01-01,7567.133333333333,11174.129,1.2601,1.01882
2003-04-01,7661.466666666665,11312.766,1.24662,1.2407
2003-07-01,7820.9333333333325,11566.669,2.08141,2.24439
2003-10-01,7913.466666666665,11772.234,1.18315,1.77722
2004-01-01,8048.7666666666655,11923.447,1.70974,1.28449
2004-04-01,8147.1,12112.815,1.22172,1.5882
2004-07-01,8283.333333333332,12305.307,1.67217,1.58916
2004-10-01,8448.666666666666,12527.214,1.99598,1.80334
2005-01-01,8551.733333333334,12767.286,1.21992,1.9164
2005-04-01,8701.133333333333,12922.656,1.74701,1.21694
2005-07-01,8868.1,13142.642,1.91891,1.70233
2005-10-01,8955.266666666666,13324.204,0.98292,1.38147
2006-01-01,9100.166666666666,13599.16,1.61804,2.06358
2006-04-01,9227.666666666666,13753.424,1.40107,1.13436
2006-07-01,9353.8,13870.188,1.3669,0.84898
2006-10-01,9427.366666666665,14039.56,0.78649,1.22112
2007-01-01,9572.133333333331,14215.651,1.5356,1.25425
2007-04-01,9678.733333333332,14402.082,1.11365,1.31145
2007-07-01,9798.366666666665,14564.117,1.23604,1.12508
2007-10-01,9937.133333333331,14715.058,1.41622,1.03639
2008-01-01,10004.466666666665,14706.538,0.67759,-0.0579
2008-04-01,10129.9,14865.701,1.25377,1.08226
2008-07-01,10159.066666666666,14898.999,0.28793,0.22399
2008-10-01,9906.93333333333,14608.208,-2.48186,-1.95175
2009-01-01,9814.966666666665,14430.901,-0.92831,-1.21375
2009-04-01,9805.5,14381.236,-0.09645,-0.34416
2009-07-01,9939.4,14448.882,1.36556,0.47038
2009-10-01,10005.0,14651.248,0.66,1.40057
2010-01-01,10101.833333333332,14764.611,0.96785,0.77374
2010-04-01,10208.133333333331,14980.193,1.05228,1.46013
2010-07-01,10300.766666666666,15141.605,0.90745,1.0775
2010-10-01,10430.333333333332,15309.471,1.25784,1.10864
2011-01-01,10558.2,15351.444,1.22591,0.27416
2011-04-01,10673.033333333333,15557.535,1.08762,1.34249
2011-07-01,10755.033333333333,15647.681,0.76829,0.57944
2011-10-01,10809.166666666666,15842.267,0.50333,1.24355
2012-01-01,10959.3,16068.824,1.38894,1.43008
2012-04-01,11005.033333333333,16207.13,0.4173,0.86071
2012-07-01,11059.366666666667,16319.54,0.49371,0.69358
2012-10-01,11165.666666666666,16420.386,0.96118,0.61795
2013-01-01,11265.6,16629.05,0.89501,1.27076
2013-04-01,11290.966666666665,16699.551,0.22517,0.42396
2013-07-01,11379.2,16911.068,0.78145,1.2666
2013-10-01,11518.366666666667,17133.114,1.22299,1.31302
2014-01-01,11618.1,17144.281,0.86586,0.06518
2014-04-01,11784.666666666666,17462.703,1.43368,1.85731
2014-07-01,11934.3,17743.227,1.26973,1.60642
2014-10-01,12053.833333333332,17852.54,1.00159,0.61608
2015-01-01,12083.933333333332,17991.348,0.24971,0.77753
2015-04-01,12224.733333333332,18193.707,1.16518,1.12476
2015-07-01,12347.733333333332,18306.96,1.00616,0.62248
2015-10-01,12397.533333333333,18332.079,0.40331,0.13721
2016-01-01,12495.066666666666,18425.306,0.78672,0.50855
2016-04-01,12637.366666666667,18611.617,1.13885,1.01117
2016-07-01,12759.066666666666,18775.459,0.96302,0.88032
2016-10-01,12881.533333333333,18968.041,0.95984,1.02571
2017-01-01,13049.433333333332,19148.194,1.30342,0.94977
2017-04-01,13134.0,19304.506,0.64805,0.81633
2017-07-01,13260.333333333332,19561.896,0.96188,1.33332
2017-10-01,13490.733333333332,19894.75,1.73751,1.70154
2018-01-01,13677.366666666669,20155.486,1.38342,1.31058
2018-04-01,13850.833333333332,20470.197,1.26828,1.56142
2018-07-01,13988.8,20687.278,0.99609,1.06047
2018-10-01,14102.933333333332,20819.269,0.81589,0.63803
2019-01-01,14145.9,21013.085,0.30466,0.93095
2019-04-01,14323.766666666668,21272.448,1.25737,1.23429
2019-07-01,14482.166666666668,21531.839,1.10585,1.21938
2019-10-01,14619.066666666668,21706.532,0.9453,0.81132
2020-01-01,14440.166666666668,21538.032,-1.22374,-0.77626
2020-04-01,13049.766666666666,19636.731,-9.6287,-8.82764
2020-07-01,14388.733333333332,21362.428,10.26046,8.78811
2020-10-01,14586.066666666668,21704.706,1.37144,1.60224
2021-01-01,15131.5,22313.85,3.73941,2.80651
2021-04-01,15813.533333333333,23046.934,4.50737,3.28533
2021-07-01,16147.3,23550.42,2.11064,2.18461
2021-10-01,16518.0,24349.121,2.29574,3.39145
2022-01-01,16874.766666666666,24740.48,2.15987,1.60728
2022-04-01,17261.36666666667,25248.476,2.29099,2.0533
2022-07-01,17542.666666666668,25723.941,1.62965,1.88314
2022-10-01,17749.9,26137.992,1.18131,1.60959
